,book_id,download_data
0,1597,4468 downloads in the last 30 days.
1,20748,1153 downloads in the last 30 days.
2,7439,1070 downloads in the last 30 days.
3,4018,985 downloads in the last 30 days.
4,22373,754 downloads in the last 30 days.
5,24737,701 downloads in the last 30 days.
6,2892,579 downloads in the last 30 days.
7,22693,544 downloads in the last 30 days.
8,7128,417 downloads in the last 30 days.
9,24811,404 downloads in the last 30 days.
10,4357,400 downloads in the last 30 days.
11,677,316 downloads in the last 30 days.
12,7841,276 downloads in the last 30 days.
13,15145,269 downloads in the last 30 days.
14,17034,256 downloads in the last 30 days.
15,14241,231 downloads in the last 30 days.
16,22096,228 downloads in the last 30 days.
17,7885,218 downloads in the last 30 days.
18,22396,182 downloads in the last 30 days.
19,19734,175 downloads in the last 30 days.
20,18674,172 downloads in the last 30 days.
21,16537,172 downloads in the last 30 days.
22,19574,165 downloads in the last 30 days.
23,22420,152 downloads in the last 30 days.
24,7871,139 downloads in the last 30 days.
25,15164,135 downloads in the last 30 days.
26,24108,130 downloads in the last 30 days.
27,23462,122 downloads in the last 30 days.
28,24473,120 downloads in the last 30 days.
29,8675,105 downloads in the last 30 days.
30,14916,99 downloads in the last 30 days.
31,25502,83 downloads in the last 30 days.
32,9368,77 downloads in the last 30 days.
33,25580,70 downloads in the last 30 days.
34,24714,69 downloads in the last 30 days.
35,20552,67 downloads in the last 30 days.
36,25555,66 downloads in the last 30 days.
37,24593,66 downloads in the last 30 days.
38,22656,64 downloads in the last 30 days.
39,22248,63 downloads in the last 30 days.
40,6622,59 downloads in the last 30 days.
41,22555,55 downloads in the last 30 days.
42,20366,54 downloads in the last 30 days.
43,15592,47 downloads in the last 30 days.
44,19207,47 downloads in the last 30 days.
45,8599,46 downloads in the last 30 days.
46,23954,45 downloads in the last 30 days.
47,22168,41 downloads in the last 30 days.
48,22886,36 downloads in the last 30 days.
49,19713,34 downloads in the last 30 days.
50,22175,29 downloads in the last 30 days.
51,7488,29 downloads in the last 30 days.
52,23759,26 downloads in the last 30 days.
53,11319,23 downloads in the last 30 days.
54,19579,20 downloads in the last 30 days.
55,22413,19 downloads in the last 30 days.
56,53379,11 downloads in the last 30 days.
